11:25:36.921 [main] INFO  c.a.n.c.e.SearchableProperties - [sortPropertySourceDefaultOrder,197] - properties search order:PROPERTIES->JVM->ENV->DEFAULT_SETTING
11:25:36.948 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
11:25:37.450 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
11:25:37.450 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [init,56] - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
11:25:39.028 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:41.946 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:41.949 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
11:25:42.753 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:43.964 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:43.964 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
11:25:44.644 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:45.647 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:45.647 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
11:25:46.347 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:47.288 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:47.288 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
11:25:48.361 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:49.272 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:49.272 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
11:25:49.947 [main] INFO  c.m.MetaxWebApplicationTest - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:25:50.856 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,211] - dynamic-datasource start closing ....
11:25:50.856 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,215] - dynamic-datasource all closed success,bye
